1042	21031
1867	19159
155	18346
2468	6218
1669	5075
868	13566
3040	13940
2032	17565
1471	12070
1290	21411
557	9742
2023	17623
633	21490
200	18675
582	10366
1393	1371
1496	22683
629	9225
1258	16525
1779	3585
1305	3312
2076	3705
198	22047
469	11804
1044	423
55	18342
2067	22248
2068	7358
875	12257
566	20083
1277	14690
3740	15347
992	1011
1952	17737
916	18646
1597	1830
2442	10709
1246	836
200	4582
396	12585
1095	8293
613	14844
533	21192
1932	5129
2812	21165
2293	1898
2878	16501
697	6312
1277	18660
1257	11237
1627	20531
421	10636
2023	20925
818	13727
1917	12024
2812	1319
579	20557
1253	6686
1541	808
1381	9171
2728	21524
1252	10386
1489	9346
1809	5477
1164	22920
2444	3843
2541	17719
216	12788
1386	12963
1382	1266
1735	1729
19	16973
2113	8497
1129	22619
2752	22795
216	22762
709	8051
2631	12894
1353	381
866	2040
2167	6504
1701	13608
1317	9806
1915	15538
369	10191
1735	7805
866	6351
133	21583
81	6766
12	4289
2087	4007
503	17506
2294	15214
1040	6124
1069	12810
1674	3539
2763	7018
984	1386
1277	17063
1735	12190
274	22929
1649	18387
866	22562
1765	5674
2175	8179
2689	20039
2878	17541
661	22426
496	14840
767	13289
200	7271
2479	2531
1451	6348
193	6498
3335	9494
1984	16228
818	19882
193	18985
2181	5569
1890	9086
2303	5205
1378	17107
1719	357
1680	6301
1484	14018
2226	13887
1032	18513
1479	10475
395	20347
3720	8396
613	14777
1822	11014
816	17084
2519	20363
3660	3881
110	6985
154	10016
1032	10723
1517	14002
811	21359
566	18371
1505	15356
1594	7525
1835	14958
1518	22335
697	624
4176	12889
613	20733
1782	12133
404	3741
1072	1792
1735	1243
75	14712
1059	415
582	21298
177	11203
1454	8528
1109	2169
582	5752
1277	6415
1981	21006
1748	18674
971	11292
2621	7318
770	19950
1852	4110
4218	16287
399	18377
1735	5775
1299	464
1006	7933
1380	4479
171	5811
1431	12859
1302	806
12	11491
369	830
2124	13531
76	16398
1484	11881
796	16297
829	1964
1571	17956
2814	1490
796	13651
866	167
916	1009
1674	9537
2631	9193
2081	6060
833	18293
1583	7536
908	15237
866	22461
19	18779
405	4421
2101	21970
1277	2765
1303	463
1099	12720
899	3281
1379	21977
1484	7667
916	9599
2293	20856
2181	9449
2431	1925
1192	14593
1372	9905
697	11882
587	2001
1577	16280
3660	1064
607	22239
2367	13685
200	16796
1666	4853
921	20333
1626	21088
795	8533
1391	19999
200	6004
2459	880
4481	20961
2181	4084
715	18274
1193	382
1152	19414
1973	3755
2113	479
3262	15983
520	16463
2479	17876
1771	4685
2350	11374
1380	22862
837	11620
921	14373
818	14357
582	17037
582	18548
1299	6757
644	20467
2181	13290
1952	5805
607	18593
2621	18830
3797	16152
336	2054
1859	12639
1299	2219
1359	193
1711	16805
369	5354
2211	3642
88	18695
2024	2268
2424	42
1882	11240
1541	18432
936	15851
1201	15095
2480	13255
692	18735
2444	70
3126	20861
760	16817
200	11782
1754	8615
359	14049
257	19540
1158	4579
1014	11297
1054	2300
2444	20695
1200	18118
315	14621
2444	20893
2048	5704
1680	2413
2002	14761
2211	13545
216	21249
2044	5003
2009	8018
1536	8789
1674	5888
1193	9443
1908	9162
579	16231
12	11492
1908	9161
1484	11055
1257	3087
1411	655
3481	7122
557	17615
1877	10175
1472	11819
1433	16299
1591	6177
4108	6374
1302	22162
168	4869
1781	16360
2973	8929
521	1823
896	17459
1947	20181
1738	15037
521	15329
2113	4158
1063	17858
829	12361
19	12181
1778	2904
520	10066
1472	568
2479	2711
2334	6593
818	4842
1886	8423
1032	9805
177	4897
2563	10183
512	11062
2026	19491
2563	925
1073	4763
807	21531
2327	5499
1748	13802
1380	22010
156	1449
2092	9168
2634	1211
2723	17742
1497	8960
1890	10726
2050	8670
2783	19604
908	10550
1353	15427
809	8639
879	3474
2114	16298
1988	10917
200	19906
1069	16386
1514	1990
1526	4642
818	6087
582	16577
1380	4199
2540	4546
1236	11697
896	4859
1042	8554
1514	15763
1320	12552
1469	12625
2114	7347
2323	11710
1072	899
1735	642
2285	5193
461	11446
2389	13499
533	18355
1090	11625
866	8743
2379	12369
315	5708
1164	21189
122	3502
1257	14292
2428	19968
866	12113
1201	15161
1072	22236
1929	17736
1497	6497
1674	166
1211	6667
557	18357
1437	12989
118	7581
831	18086
1735	10584
982	21432
1952	17735
34	15074
566	14490
1735	8779
2037	6490
2086	9004
520	12633
2417	16122
1536	2190
216	9709
177	10972
866	20038
2006	12432
155	16332
944	15081
1390	12773
2450	4812
1086	8972
2293	13250
2846	11898
1475	22299
1952	3138
540	12156
119	18260
3691	19684
579	21997
2541	18104
189	17140
2370	15560
150	4761
415	15326
2774	8026
1381	22506
508	5146
2146	14278
130	21631
2242	15636
1246	254
2444	691
2127	6210
1381	5649
19	2318
1877	11029
2478	6945
1007	6712
670	20047
2444	13176
1187	17994
835	955
2175	9898
566	2954
1881	17437
128	2542
38	19497
1765	21441
1331	11109
818	5663
578	13368
833	5597
1577	6545
1027	2410
3293	12768
1099	4471
1152	18587
55	7147
839	21237
1037	1385
545	6606
1666	5845
520	5521
1075	8590
1841	12301
857	7182
909	19588
866	589
1136	10920
715	4033
450	17376
1577	5319
1302	6330
2241	10462
177	20638
1743	9778
1765	1434
1732	1246
1211	6662
3691	4060
2144	14824
2323	18821
3711	15676
2281	10330
216	13717
1877	21378
1493	7017
1252	9072
1042	18255
193	20938
2444	4502
715	15926
520	1700
2305	12780
1921	2111
1266	7688
1239	20290
148	19915
1352	14181
1674	6656
1915	8067
1166	16572
1215	2045
1152	21704
2114	14484
795	14721
1211	2244
856	970
829	19023
1669	659
1765	89
193	12383
1422	14957
1497	19670
152	20884
2323	242
1865	13332
1571	11461
709	9011
1627	12779
193	14662
1757	4662
193	5317
1698	13051
1623	16870
866	18719
1669	17656
3694	1574
2029	12296
376	1993
2722	11443
1674	610
1908	5122
1199	19603
777	4896
793	15497
215	13016
1707	7530
1381	1197
1778	22782
1952	7813
469	10530
1932	4550
2440	15358
2139	19963
1378	5262
1472	2925
399	20229
896	1185
1735	19400
1655	14890
1472	15675
1824	235
1717	2446
338	16953
1867	19160
1131	21825
1669	4535
2572	5318
2238	3046
2350	17394
361	6797
1193	15996
1835	9795
582	2775
793	5910
1381	7387
390	14047
1193	3640
2076	3966
1655	22529
650	8530
793	2412
2516	11572
1765	15369
17	16755
24	8691
2407	21499
1627	20321
2244	8247
866	9856
19	974
1541	342
1463	3470
866	9857
2063	16479
2379	12368
1032	19437
857	13359
2578	1512
12	13457
132	4937
1940	1907
1568	3446
128	7676
731	7494
659	7537
1381	10747
546	12465
1236	11818
1017	911
2541	18125
369	10200
1890	18373
2026	8955
943	21427
2315	7727
520	7500
1211	12674
520	2845
1716	7216
1915	16557
1099	16700
896	15915
1568	8752
840	6558
1497	14307
1453	22153
1781	16179
2060	13052
1277	5525
427	21406
3662	10734
816	18126
2117	13096
1189	4957
1967	12052
1952	3253
601	13339
1571	6336
2621	15661
1809	18918
1324	12066
19	20324
2444	1683
2349	22164
1381	5619
130	21388
215	13009
193	17386
1381	84
402	15512
566	18453
1152	22806
2451	16949
1277	634
582	20819
0	16758
100	11991
1496	17292
1189	8217
1510	21720
1771	5108
1043	19358
703	5751
1514	10303
2444	14351
968	7005
866	18222
2293	17250
1108	14902
2504	7982
818	567
22	2069
2563	15325
777	11204
80	16081
1890	9077
582	5673
2389	11100
399	874
866	2255
726	12594
1754	10526
969	3916
1484	14104
2451	9776
2434	10461
24	20783
1257	6496
2878	6944
1152	13698
508	2637
2751	12557
1778	2906
1780	20437
3552	4231
508	20007
818	8045
200	20777
1735	10583
1381	13451
1674	609
1032	18512
4273	4597
1748	22273
561	8542
1201	11028
1377	18973
992	14463
866	6745
2621	17753
200	3793
2026	16499
1152	18652
165	19202
1381	21286
1099	19455
328	3986
818	3114
579	13868
2973	17337
866	2046
900	18155
1182	15299
1625	21478
2464	3922
2048	16547
216	3958
1779	2940
1941	9087
1514	15754
2480	10021
2778	18645
1674	12112
793	9270
3501	13683
1669	8553
1496	13206
1669	5654
1674	13687
2103	1958
3769	13799
866	1884
2870	3951
2878	8749
125	18340
1570	14546
2444	8277
1742	18972
1014	18292
3126	19752
1257	22760
1765	9353
2524	7817
1674	6746
200	12603
2175	2068
1108	20145
19	8764
1285	19187
2467	15396
1099	7565
130	5335
584	15729
3262	15977
1698	12868
520	20121
2454	20682
528	8482
4317	15528
159	180
818	3324
816	4520
899	7842
866	9241
177	11684
3070	3004
1106	13458
697	20140
1859	21469
613	19766
276	18914
669	18679
1927	777
19	17914
3659	16542
1497	10702
130	15622
2751	19628
85	14820
2814	9078
1032	10725
100	20420
3583	9627
1277	2764
784	4600
527	21824
110	15844
2631	22689
402	11453
2444	1682
2093	19215
1765	19364
796	4331
866	9855
1045	12352
866	13601
106	20418
2293	12326
1735	6599
1908	2039
